split_dir,split_name,method,fold_idx,fold_token,val_mae,val_mre,val_r2,test_mae,test_mre,test_r2,val_loss,test_loss,file
finetune,,alignn,1,1,0.6529417634010315,0.3183847963809967,0.12134727090597153,0.5625654458999634,0.27292683720588684,0.4853841960430145,0.6951279640197754,0.5118288993835449,output/finetune/alignn_8457559.txt
finetune,,alignn,2,2,0.6074647903442383,0.3404863178730011,0.34582093358039856,0.5988393425941467,0.3126426637172699,0.41169366240501404,0.6661854982376099,0.5882874727249146,output/finetune/alignn_8457559.txt
finetune,,alignn,3,3,0.6054239273071289,0.3381880819797516,0.3821035921573639,0.6712052822113037,0.31956228613853455,0.2821277976036072,0.652734100818634,0.7201541066169739,output/finetune/alignn_8457559.txt
finetune,,alignn,4,4,0.7360707521438599,0.40851375460624695,-0.03300461918115616,0.5769118070602417,0.29623332619667053,0.466181218624115,0.9409293532371521,0.534968912601471,output/finetune/alignn_8457559.txt
finetune,,alignn,5,5,0.6576899886131287,0.3601493239402771,0.21143946051597595,0.5628710985183716,0.3066577613353729,0.42229753732681274,0.7784689664840698,0.5829277038574219,output/finetune/alignn_8457559.txt
finetune,,alignn,6,6,0.6211209893226624,0.31698107719421387,0.27624595165252686,0.6019864678382874,0.30689093470573425,0.368949294090271,0.7069634795188904,0.6380167603492737,output/finetune/alignn_8457559.txt
finetune,,alignn,7,7,0.5103542804718018,0.25088903307914734,0.5392367243766785,0.5729895234107971,0.29645565152168274,0.4601147174835205,0.4656408131122589,0.5465685129165649,output/finetune/alignn_8457559.txt
finetune,,alignn,8,8,0.563252329826355,0.2787074148654938,0.4932997226715088,0.5967941880226135,0.3091415762901306,0.36428096890449524,0.5484955906867981,0.6282137036323547,output/finetune/alignn_8457559.txt
finetune,,alignn,9,9,0.6576956510543823,0.31009942293167114,0.19831795990467072,0.6430953741073608,0.2805875241756439,0.3167084753513336,0.8121457099914551,0.6804248094558716,output/finetune/alignn_8457559.txt
finetune,,alignn,10,10,0.6722268462181091,0.2995753586292267,0.13746897876262665,0.5915452837944031,0.3032543659210205,0.3915671110153198,0.9035691618919373,0.6078099012374878,output/finetune/alignn_8457559.txt
finetune,,alignn_prop,1,1,0.6243377327919006,0.32289817929267883,0.34449195861816406,0.4586230218410492,0.24276316165924072,0.6523780226707458,0.6248898506164551,0.35148751735687256,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,2,2,0.5084119439125061,0.29586008191108704,0.5363208055496216,0.45346593856811523,0.24421200156211853,0.65378737449646,0.5024993419647217,0.3498893678188324,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,3,3,0.5288619995117188,0.3390963673591614,0.5736580491065979,0.4401886761188507,0.2375735342502594,0.6547294855117798,0.492938369512558,0.34837794303894043,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,4,4,0.6073335409164429,0.373576819896698,0.16706664860248566,0.45665648579597473,0.24630151689052582,0.6470357179641724,0.7716002464294434,0.3587256669998169,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,5,5,0.5261289477348328,0.296358197927475,0.4504370093345642,0.43958818912506104,0.23585465550422668,0.656734824180603,0.5254244208335876,0.34783533215522766,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,6,6,0.553799569606781,0.3034268021583557,0.38177138566970825,0.44774091243743896,0.24123667180538177,0.6394705176353455,0.6222927570343018,0.3629455268383026,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,7,7,0.5062129497528076,0.2406250685453415,0.6070325374603271,0.44952890276908875,0.23648002743721008,0.6495440006256104,0.4126242399215698,0.3569880723953247,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,8,8,0.578147292137146,0.2955191731452942,0.4247967302799225,0.45313897728919983,0.2435343712568283,0.6547365188598633,0.6618831753730774,0.3504903018474579,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,9,9,0.5834982991218567,0.3166431486606598,0.39301183819770813,0.4465235471725464,0.24157893657684326,0.6483334898948669,0.60726398229599,0.3588283658027649,output/finetune/alignn_prop_8457563.txt
finetune,,alignn_prop,10,10,0.5611271858215332,0.2467467337846756,0.39348915219306946,0.45755624771118164,0.24484269320964813,0.6350454688072205,0.6779015064239502,0.367739737033844,output/finetune/alignn_prop_8457563.txt
finetune,,cartnet,1,1,0.6761290431022644,0.344098836183548,0.15166905522346497,0.5564701557159424,0.2724415957927704,-0.7197912931442261,0.761885941028595,1.4827373027801514,output/finetune/cartnet_8457565.txt
finetune,,cartnet,2,2,0.6183276772499084,0.3436737358570099,0.3577561378479004,0.5404842495918274,0.2747589349746704,0.30344367027282715,0.6627081036567688,0.6923092007637024,output/finetune/cartnet_8457565.txt
